,zbest,F3GHz,logL10cm,logL21cm,logLTIRSF,SFG,MNUV,MU,MB,MV,MR,MI,MZ,MY,MJ,MH,MK,MASS_MED,MASS_BEST,SFR_MED,SFR_BEST,L_NU,L_R,L_K
4007,2.8988,19.93056,23.974789,24.206484,12.486364,1.0,-20.332,-21.438,-22.074,-22.524,-22.791,-23.126,-23.429,-23.717,-23.889,-24.173,-24.053,10.8216,10.9162,1.91571,1.52457,29.6628193916788,30.1683262117389,30.257339076952
4008,0.758,46.46864,23.01513,23.246824,11.531787,1.0,-18.087,-20.127,-20.831,-21.379,-21.76,-22.229,-22.605,-22.789,-23.179,-23.559,-23.535,10.6114,10.4942,1.96842,2.16555,30.2714193916788,30.3286262117389,30.149169076952
4009,3.4981,19.34003,24.138931,24.370626,11.013801,1.0,-19.197,-20.524,-21.041,-21.168,-21.087,-21.147,-21.322,-21.379,-21.36,-21.442,-21.198,9.66524,9.7048,1.10763,-0.318866,28.2684293916788,29.0834262117389,29.080429076952
4010,1.9481,28.80951,23.751577,23.983273,11.995554,1.0,-18.619,-20.686,-21.297,-21.763,-22.095,-22.47,-22.967,-23.212,-23.487,-23.876,-23.844,10.6032,10.6053,2.09131,2.06256,30.1759193916788,30.3000262117389,30.249179076952
4011,1.449,36.85605,23.566332,23.798027,12.416506,0.0,-20.705,-22.441,-23.021,-23.677,-23.979,-24.021,-24.39,-24.584,-24.866,-25.247,-25.183,11.1404,11.1206,2.78868,2.79197,30.8978193916788,30.9551262117389,30.775639076952
4012,0.944,36.25095,23.128946,23.360641,11.928523,1.0,-19.59,-21.6,-22.255,-22.79,-23.163,-23.493,-23.782,-24.047,-24.208,-24.601,-24.414,11.0615,11.0341,2.289,2.21876,30.3542193916788,30.5995262117389,30.490039076952
4013,0.812,26.2229,22.836163,23.067858,10.829727,0.0,-17.542,-20.549,-21.389,-22.002,-22.259,-22.672,-22.917,-23.066,-23.147,-23.574,-23.328,10.7092,10.7075,-1.28711,-1.28607,27.5388393916788,29.5139362117389,29.801639076952
4014,1.4805,20.13964,23.325275,23.55697,11.33587,1.0,-18.284,-20.451,-21.173,-21.932,-22.34,-22.601,-23.148,-23.393,-23.762,-24.17,-24.167,10.9609,10.9723,2.06246,2.05495,30.1935193916788,30.4804262117389,30.388959076952
4015,1.9843,28.73237,23.77341,24.00859,12.383731,1.0,-19.153,-21.081,-21.712,-22.025,-22.345,-22.835,-23.391,-23.639,-23.919,-24.29,-24.264,10.8285,10.829,2.19022,2.19957,30.2983193916788,30.4464262117389,30.411869076952
4016,3.46,21.19468,24.168446,24.40014,0.0,0.0,-22.024,-23.39,-24.111,-24.222,-24.099,-24.159,-24.496,-24.552,-24.534,-24.616,-24.372,10.9582,10.938,0.917638,0.914295,29.5016193916788,30.3166262117389,30.313589076952
4017,1.3394,51.47663,23.632973,23.86467,11.540012,0.0,-18.694,-21.468,-22.272,-22.775,-23.025,-23.296,-23.569,-23.715,-23.967,-24.143,-23.814,10.9975,10.9701,-0.605295,-0.5939,28.0245093916788,29.8394262117389,30.102609076952
4018,3.2006,20.06805,24.07149,24.303185,12.277368,0.0,-21.139,-21.732,-22.446,-22.627,-22.762,-22.952,-23.135,-23.237,-23.293,-23.444,-23.23,10.3743,10.4464,1.6137,1.56651,29.6744193916788,29.9251262117389,29.925419076952
4019,0.6449,27.75517,22.628317,22.860012,0.0,0.0,-20.638,-21.136,-21.464,-21.234,-21.359,-21.466,-21.59,-21.721,-21.741,-22.043,-21.802,9.31251,9.34082,2.0,2.00001,29.8809193916788,29.6360262117389,29.330919076952
4020,1.6968,26.98429,23.587446,23.819143,11.631017,1.0,-19.086,-20.825,-21.363,-21.88,-22.202,-22.658,-22.97,-23.24,-23.388,-23.558,-23.375,10.6943,10.8393,1.78937,0.977952,29.1246193916788,29.8590262117389,30.038819076952
4021,1.4833,20.6297,23.337597,23.56929,11.506617,1.0,-19.63,-21.255,-21.657,-22.034,-22.441,-22.206,-22.734,-22.944,-23.365,-23.687,-23.606,10.2846,10.2935,2.12292,2.12344,30.2063193916788,30.1876262117389,30.126449076952
4022,2.03,19.37123,23.619425,23.851118,12.115957,0.0,-23.613,-23.78,-24.147,-24.117,-24.014,-23.993,-24.022,-24.224,-24.248,-24.261,-23.961,10.458,10.4155,2.3,2.275,30.3599193916788,30.3481262117389,30.146249076952
4023,0.352,19.41166,21.870146,22.101841,10.352875,0.0,-16.296,-19.674,-20.691,-21.417,-21.774,-22.175,-22.474,-22.671,-22.874,-23.081,-22.854,10.95,10.9376,-0.800004,-0.826563,27.4622993916788,29.4228962117389,29.787299076952
4024,1.043,19.79029,22.96668,23.198376,11.767471,1.0,-18.649,-20.619,-21.311,-21.918,-22.325,-22.732,-23.151,-23.373,-23.62,-24.056,-23.91,10.8694,10.9094,1.89958,1.88763,30.0288193916788,30.3658262117389,30.319459076952
4025,1.906,25.55479,23.67813,23.909824,11.967659,1.0,-17.452,-19.513,-20.291,-21.008,-21.453,-22.072,-22.578,-22.951,-23.303,-23.731,-23.757,10.8329,10.8226,1.77038,1.8419,29.9473193916788,30.2231262117389,30.251679076952
4026,1.1875,35.88656,23.3557,23.587397,0.0,0.0,-19.875,-21.189,-21.701,-21.861,-22.105,-22.463,-22.978,-23.138,-23.375,-23.629,-23.584,10.4786,10.4512,2.12239,2.1226,30.2284193916788,30.2857262117389,30.106219076952
4027,1.263,75.09178,23.738186,23.969881,0.0,0.0,-19.769,-21.522,-22.115,-22.593,-22.904,-23.178,-23.445,-23.589,-23.844,-24.066,-23.955,10.8674,10.8618,1.80319,1.78704,29.9292193916788,30.2874262117389,30.253569076952
